['Pseudo :', 'Gwen_TM', 'AccountID :', 'dba55c7e-d5cd-40c0-a5e7-8e793fd295eb', 'Total points :', 260839752, 'Rank :', 1]
['Pseudo :', 'riolu-tm', 'AccountID :', '2ed0997d-62bc-4a53-8c09-ffb793382ea2', 'Total points :', 194789651, 'Rank :', 2]
['Pseudo :', 'CarlJr.', 'AccountID :', '0c857beb-fd95-4449-a669-21fb310cacae', 'Total points :', 169795185, 'Rank :', 3]
['Pseudo :', 'RacetalTM', 'AccountID :', '445a6375-a8aa-4b56-b3b5-18d4bff53351', 'Total points :', 161782140, 'Rank :', 4]
['Pseudo :', 'AR_Mudda', 'AccountID :', 'd320a237-1b0a-4069-af83-f2c09fbf042e', 'Total points :', 152721552, 'Rank :', 5]
['Pseudo :', 'AffiTM', 'AccountID :', 'a9cbdeff-daa3-4bc2-998c-b2838183fb97', 'Total points :', 112639742, 'Rank :', 6]
['Pseudo :', 'KC.DarkeR', 'AccountID :', 'ae6262f9-31ad-48a7-8445-3e701414a86a', 'Total points :', 102094788, 'Rank :', 7]
['Pseudo :', 'Hefest.9D', 'AccountID :', '06496fad-70f7-49bc-80c6-d62caa7a9de4', 'Total points :', 100067633, 'Rank :', 8]
['Pseudo :', 'Marius.89', 'AccountID :', '794a286c-44d9-4276-83ce-431cba7bab74', 'Total points :', 89502085, 'Rank :', 9]
['Pseudo :', 'hug0220', 'AccountID :', 'f781e6ad-8a11-4093-a297-e48638d5fa1a', 'Total points :', 83800607, 'Rank :', 10]
['Pseudo :', 'Scrapie98', 'AccountID :', 'da4642f9-6acf-43fe-88b6-b120ff1308ba', 'Total points :', 81636395, 'Rank :', 11]
['Pseudo :', 'SuperCarlouf', 'AccountID :', 'aceb463a-ed8e-47d6-bc8d-025c229aca5b', 'Total points :', 73839831, 'Rank :', 12]
['Pseudo :', 'TMBren', 'AccountID :', '5d6b14db-4d41-47a4-93e2-36a3bf229f9b', 'Total points :', 72642816, 'Rank :', 13]
['Pseudo :', 'AurelTM.', 'AccountID :', '16a9feef-f410-4c97-8a78-ea73e946f15d', 'Total points :', 70807872, 'Rank :', 14]
['Pseudo :', 'GNR-HASKELL', 'AccountID :', '6c26b761-bd62-42b5-8190-e3e732c2b937', 'Total points :', 70354984, 'Rank :', 15]
['Pseudo :', 'Kainry.', 'AccountID :', 'fe2aa57e-8c18-4f7d-979c-3dd74a7c9ea5', 'Total points :', 69545571, 'Rank :', 16]
['Pseudo :', 'eLconn21', 'AccountID :', 'd46fb45d-d422-47c9-9785-67270a311e25', 'Total points :', 69069487, 'Rank :', 17]
['Pseudo :', 'tm_link', 'AccountID :', 'de590c4e-f98c-4783-afa8-a01efb069ceb', 'Total points :', 67874442, 'Rank :', 18]
['Pseudo :', 'Loud_GranaDy', 'AccountID :', '05477e79-25fd-48c2-84c7-e1621aa46517', 'Total points :', 67391290, 'Rank :', 19]
['Pseudo :', 'Erizel', 'AccountID :', 'e975fb83-c2b4-4830-9ec6-d8253f315865', 'Total points :', 67185144, 'Rank :', 20]
['Pseudo :', 'Spammiej', 'AccountID :', '3bb0d130-637d-46a6-9c19-87fe4bda3c52', 'Total points :', 65789212, 'Rank :', 21]
['Pseudo :', 'FrevTM', 'AccountID :', 'aa57691a-dbde-4b5f-97e4-52bcf02156cf', 'Total points :', 65176725, 'Rank :', 22]
['Pseudo :', 'PacTM', 'AccountID :', '2d4cba8b-3b77-45af-a635-5e4d6e61cfa2', 'Total points :', 63344562, 'Rank :', 23]
['Pseudo :', 'Asetek.Dunste', 'AccountID :', '93f02308-2b75-406f-87b7-57b2ebf8598e', 'Total points :', 63063014, 'Rank :', 24]
['Pseudo :', 'ARd0wn', 'AccountID :', '8f08302a-f670-463b-9f71-fbfacffb8bd1', 'Total points :', 62458969, 'Rank :', 25]
['Pseudo :', 'Micka_TM', 'AccountID :', '65341b56-1625-4df2-8fb4-ad7145c03c34', 'Total points :', 62398342, 'Rank :', 26]
['Pseudo :', 'BIG.MASSA', 'AccountID :', 'b05db0f8-d845-47d2-b0e5-795717038ac6', 'Total points :', 60662892, 'Rank :', 27]
['Pseudo :', 'ShaDenis_', 'AccountID :', 'd2d0c8ee-f807-4bc7-8ccc-7f17432bce5a', 'Total points :', 58636106, 'Rank :', 28]
['Pseudo :', 'Razii..', 'AccountID :', '01fe5b11-5ada-48a0-9da7-367e153ac3ad', 'Total points :', 55476741, 'Rank :', 29]
['Pseudo :', 'Larstm', 'AccountID :', 'e3ff2309-bc24-414a-b9f1-81954236c34b', 'Total points :', 54475279, 'Rank :', 30]
['Pseudo :', 'DexteR.771', 'AccountID :', '55a6453a-8fd8-47da-831b-d4c90ecc7506', 'Total points :', 50643202, 'Rank :', 31]
['Pseudo :', 'Girsh.', 'AccountID :', '7bbb9fac-f887-4a3f-8e41-be3121b39a7d', 'Total points :', 50340238, 'Rank :', 32]
['Pseudo :', 'VoMF1TeN', 'AccountID :', '1dc543d8-7c7a-4f07-85b4-7f6c94c3a459', 'Total points :', 49582191, 'Rank :', 33]
['Pseudo :', 'tekky_TM', 'AccountID :', 'a198e640-779a-47c0-97b5-9d38a351e7fa', 'Total points :', 49565019, 'Rank :', 34]
['Pseudo :', 'Lyrooz-_-', 'AccountID :', '64a9dbf9-22b4-4143-a3d4-ffbae7a6ebfa', 'Total points :', 49087407, 'Rank :', 35]
['Pseudo :', 'mime.cut', 'AccountID :', 'fb678553-f730-442a-a035-dfc50f4a5b7b', 'Total points :', 48282017, 'Rank :', 36]
['Pseudo :', 'JurixTM', 'AccountID :', '5db172fc-21e4-4618-8039-fba4b2d421b9', 'Total points :', 47449239, 'Rank :', 37]
['Pseudo :', 'SIMPLYNICK', 'AccountID :', '24b09acf-f745-408e-80fc-b1141054504c', 'Total points :', 46897490, 'Rank :', 38]
['Pseudo :', 'RotakeR.9D', 'AccountID :', 'a5af97bc-d185-404f-a7d1-5c4e48d05db6', 'Total points :', 45556511, 'Rank :', 39]
['Pseudo :', 'EvonTM', 'AccountID :', 'af22b9e7-9210-4b2d-81ff-2b230ced955b', 'Total points :', 44635867, 'Rank :', 40]
['Pseudo :', 'KakkouTM', 'AccountID :', '7b841c85-b284-4d3f-9f84-6cbcc1994f24', 'Total points :', 44326764, 'Rank :', 41]
['Pseudo :', 'Chickenrunnn', 'AccountID :', '9a126fe8-c35d-44f6-8593-7fe0b3ca7016', 'Total points :', 43692071, 'Rank :', 42]
['Pseudo :', 'NeqzoTM', 'AccountID :', 'f40d3c02-135a-4c84-ad99-5e96f2431c41', 'Total points :', 41718018, 'Rank :', 43]
['Pseudo :', 'YannexTM', 'AccountID :', 'a98c34ef-5896-417b-bdfe-35c8ed25c4bc', 'Total points :', 40904869, 'Rank :', 44]
['Pseudo :', 'azinazz', 'AccountID :', '6a9b4f65-83ef-4d24-ac63-d040bc9ff44d', 'Total points :', 40635889, 'Rank :', 45]
['Pseudo :', 'Shadow_Crancer', 'AccountID :', 'a6ae76c9-9030-4a7b-b533-cacfd6e85cb2', 'Total points :', 40441695, 'Rank :', 46]
['Pseudo :', 'Dog..', 'AccountID :', '961d1145-8c7b-48c3-9191-0d1d91e44a4a', 'Total points :', 40431288, 'Rank :', 47]
['Pseudo :', 'WirtualTM', 'AccountID :', 'bd45204c-80f1-4809-b983-38b3f0ffc1ef', 'Total points :', 40343125, 'Rank :', 48]
['Pseudo :', 'xdennis090', 'AccountID :', 'ba06de15-1fb3-4ea3-b279-4283828151d6', 'Total points :', 40206674, 'Rank :', 49]
['Pseudo :', 'solo23101', 'AccountID :', 'f40e1f49-5948-45dc-9778-2f80a44a476a', 'Total points :', 39353028, 'Rank :', 50]
['Pseudo :', 'Richie01308', 'AccountID :', 'd0a811b4-5611-4948-8865-03c9d252bcf4', 'Total points :', 38754431, 'Rank :', 51]
['Pseudo :', 'sh0rty.de', 'AccountID :', '962a2970-ac04-4475-885f-4dc1376fc062', 'Total points :', 38617096, 'Rank :', 52]
['Pseudo :', 'Nyaruko92', 'AccountID :', 'df9d176c-d9cf-4ad9-9fd2-d971986f849a', 'Total points :', 38493115, 'Rank :', 53]
['Pseudo :', 'sikopika', 'AccountID :', '210be51c-4ba3-45a8-ada2-ec63cd917fd6', 'Total points :', 37973796, 'Rank :', 54]
['Pseudo :', 'Ice-TM', 'AccountID :', 'a90404b4-7217-4f78-8891-135da2b442b2', 'Total points :', 36459421, 'Rank :', 55]
['Pseudo :', 'JozoTm', 'AccountID :', 'c0799fdc-d7a7-4d7e-ad9e-c9fcc4fc7bbf', 'Total points :', 35120886, 'Rank :', 56]
['Pseudo :', 'PauLL.4W', 'AccountID :', '0def209a-944b-40ac-8dc8-989af08c8ef4', 'Total points :', 33958814, 'Rank :', 57]
['Pseudo :', 'ItsDocker_', 'AccountID :', '6a8e79d7-e619-4e82-b83a-6018a44d2cdc', 'Total points :', 33806741, 'Rank :', 58]
['Pseudo :', 'ConiFox', 'AccountID :', 'b1895865-9825-44e0-b83f-6d2af45389b8', 'Total points :', 33136480, 'Rank :', 59]
['Pseudo :', 'Rollin.9D', 'AccountID :', '531a9861-c024-4063-9b29-14601350b899', 'Total points :', 32325968, 'Rank :', 60]
['Pseudo :', 'SkandeaR', 'AccountID :', 'c1e8bbec-8bb3-40b3-9b0e-52e3cb36015e', 'Total points :', 32305227, 'Rank :', 61]
['Pseudo :', 'Ratchet_EU', 'AccountID :', '59b45e33-c64f-436b-9826-4cb457cc7bc0', 'Total points :', 32187253, 'Rank :', 62]
['Pseudo :', 'LDN_Rocky', 'AccountID :', 'cde8ddb1-f572-48ae-9a4d-dcef03d81e8b', 'Total points :', 31760366, 'Rank :', 63]
['Pseudo :', 'XerarTM', 'AccountID :', 'c367a4eb-78b0-4767-97e2-6b21c7e0ca01', 'Total points :', 31601816, 'Rank :', 64]
['Pseudo :', 'Ludinxx', 'AccountID :', '24154512-375a-48fa-b79a-c691e767070b', 'Total points :', 31159496, 'Rank :', 65]
['Pseudo :', 'AR_Mango', 'AccountID :', '3e9ccebe-37e3-4276-936c-cb3417cb5328', 'Total points :', 30710309, 'Rank :', 66]
['Pseudo :', 'Sir.Cato', 'AccountID :', 'b3bb28c2-bbd1-4c4c-a316-939128df4d8b', 'Total points :', 30548732, 'Rank :', 67]
['Pseudo :', 'Dofault.', 'AccountID :', '6220e37a-d246-46ae-a0ad-31ee0d183f20', 'Total points :', 30490482, 'Rank :', 68]
['Pseudo :', 'NRGZzz_', 'AccountID :', '70bd004b-b948-4a9c-9013-4282487f035b', 'Total points :', 30282030, 'Rank :', 69]
['Pseudo :', 'SRK_LV', 'AccountID :', 'bb961ea9-bb72-49c2-9294-fb0a34fb7591', 'Total points :', 29846200, 'Rank :', 70]
['Pseudo :', 'Sifflair', 'AccountID :', '59774340-614e-43eb-991b-629b2fab8575', 'Total points :', 29694895, 'Rank :', 71]
['Pseudo :', 'SapiTM', 'AccountID :', 'e2630e0a-72f9-4b47-8cb4-15a2abfad1df', 'Total points :', 29691310, 'Rank :', 72]
['Pseudo :', 'Wavy.Aynyx', 'AccountID :', '0691c70d-c69d-46a9-a209-6600d708b4bd', 'Total points :', 29289126, 'Rank :', 73]
['Pseudo :', 'Harryesu', 'AccountID :', 'a390b00c-96cd-4ddb-bfe0-373aeffae0db', 'Total points :', 29206443, 'Rank :', 74]
['Pseudo :', 'BIG_MAN_TAXON', 'AccountID :', '4d949246-4a71-46b0-b30d-43cbbf63d0f7', 'Total points :', 28782891, 'Rank :', 75]
['Pseudo :', 'DyZroDTM', 'AccountID :', '1672e2a1-ef21-4fe6-a0a8-cf9448db0086', 'Total points :', 28621473, 'Rank :', 76]
['Pseudo :', 'SSG_matt', 'AccountID :', 'fc54a67c-7bd3-4b33-aa7d-a77f13a7b621', 'Total points :', 28323911, 'Rank :', 77]
['Pseudo :', 'Toruss74', 'AccountID :', '9ddedd87-2afb-46db-8541-c1b3894facb5', 'Total points :', 28225803, 'Rank :', 78]
['Pseudo :', 'Legu18', 'AccountID :', '61cf89e9-849a-49be-be26-749ae09bb8cb', 'Total points :', 27845331, 'Rank :', 79]
['Pseudo :', 'WorkerTm', 'AccountID :', 'cf8bba50-68d0-4df2-9d32-c053b74ca438', 'Total points :', 27759875, 'Rank :', 80]
['Pseudo :', 'PatroseTV', 'AccountID :', '5cada1ac-a938-4468-af83-8e945d6251f3', 'Total points :', 27667915, 'Rank :', 81]
['Pseudo :', 'Nath_TM', 'AccountID :', '04b139f8-02b9-43bb-9312-39a2cea0a48c', 'Total points :', 26963116, 'Rank :', 82]
['Pseudo :', 'h3llomarcTwitch', 'AccountID :', 'a06bf942-b2c8-4e3e-9fa8-b421fe5bb451', 'Total points :', 26957887, 'Rank :', 83]
['Pseudo :', 'SaintTM.', 'AccountID :', '56d650f4-e286-40e7-a978-c05cbeca7b07', 'Total points :', 26854970, 'Rank :', 84]
['Pseudo :', 'Arieug0n', 'AccountID :', '347e8fe9-4c6f-46c3-a0c6-a8ba9133f4a7', 'Total points :', 26828263, 'Rank :', 85]
['Pseudo :', 'DarkBringer94', 'AccountID :', '16ee3d8e-ee78-4e77-b787-48f2247f96c3', 'Total points :', 26502059, 'Rank :', 86]
['Pseudo :', 'Roa_TM', 'AccountID :', 'b52e0c98-387c-43eb-9acb-5c9b5e0f1286', 'Total points :', 25874067, 'Rank :', 87]
['Pseudo :', 'MimoJr', 'AccountID :', 'c7b0adf2-a3d0-48e8-8fd8-4aa0e07f53a2', 'Total points :', 25008211, 'Rank :', 88]
['Pseudo :', 'Kaio...', 'AccountID :', 'dc1d737a-0f11-49bf-80a8-6b0796bf4e52', 'Total points :', 24986674, 'Rank :', 89]
['Pseudo :', 'RadianceTM', 'AccountID :', '169fd394-6b72-4fec-9e34-ee606f529cda', 'Total points :', 24871142, 'Rank :', 90]
['Pseudo :', 'GunteR_RL', 'AccountID :', '5df2a40b-1333-4569-81bc-be91ee851ad8', 'Total points :', 24673188, 'Rank :', 91]
['Pseudo :', 'itsKrip', 'AccountID :', '211c053a-b5b7-42ba-b231-aae07e5b458e', 'Total points :', 23792881, 'Rank :', 92]
['Pseudo :', 'LykerTm', 'AccountID :', '7dfb862c-a2ed-440a-8cd2-64e31ec77a97', 'Total points :', 23426593, 'Rank :', 93]
['Pseudo :', 'MiQuatr0', 'AccountID :', 'df7f4797-41a5-4763-8671-73fc316e57ff', 'Total points :', 23258834, 'Rank :', 94]
['Pseudo :', 'Samuraisoni', 'AccountID :', '581c862d-6390-4e67-89da-3af79382ab85', 'Total points :', 22938219, 'Rank :', 95]
['Pseudo :', 'Snow.qlf', 'AccountID :', '5670e6f2-b52d-4178-bc29-ce692282a03f', 'Total points :', 22767288, 'Rank :', 96]
['Pseudo :', 'LoupphoK', 'AccountID :', 'faedcf21-d61a-4305-9ffe-680b2ee5d65e', 'Total points :', 22687914, 'Rank :', 97]
['Pseudo :', 'Joltysonic.', 'AccountID :', '934543d0-dbcc-432f-8959-ca789f7c904e', 'Total points :', 22608246, 'Rank :', 98]
['Pseudo :', 'choum22', 'AccountID :', '46456c60-f2ab-4d83-ac48-6f1b27235d84', 'Total points :', 22535767, 'Rank :', 99]
['Pseudo :', 'Ey0hna', 'AccountID :', '084802fc-59d4-4787-a52d-971e2306f9d4', 'Total points :', 22486279, 'Rank :', 100]
['Pseudo :', 'Bresso.Patrxaa', 'AccountID :', '99a8fafd-6bec-463b-8401-ef7a6562d0ab', 'Total points :', 22188746, 'Rank :', 101]
['Pseudo :', 'BrzuchLewego', 'AccountID :', '8f8b9d29-6979-4b33-985a-e59cd6bb1233', 'Total points :', 22000088, 'Rank :', 102]
['Pseudo :', 'RzL_Whizzy', 'AccountID :', 'f5788168-5d7d-4552-a30a-42565e1f9019', 'Total points :', 21913556, 'Rank :', 103]
['Pseudo :', 'ferkel_', 'AccountID :', 'aba576af-219f-44a2-99f6-0fa8c28add03', 'Total points :', 21662986, 'Rank :', 104]
['Pseudo :', 'TM_Tony', 'AccountID :', '6d7941c9-deb2-4889-b744-eaab914e550b', 'Total points :', 21629637, 'Rank :', 105]
['Pseudo :', 'BRand0M_TM', 'AccountID :', '60b87855-7dda-44c3-844a-86da686ca103', 'Total points :', 21369049, 'Rank :', 106]
['Pseudo :', 'Lateralous_', 'AccountID :', '5c78b27a-908e-41f5-bce7-09e4367dbc0d', 'Total points :', 21192064, 'Rank :', 107]
['Pseudo :', 'WosileTM', 'AccountID :', '813a3917-8850-4393-92a0-cc442d9cc4a2', 'Total points :', 21171458, 'Rank :', 108]
['Pseudo :', 'Buuuuurd', 'AccountID :', '180f1856-db4a-449c-8bb0-fbbab30efd64', 'Total points :', 21104088, 'Rank :', 109]
['Pseudo :', 'Wuffeli', 'AccountID :', 'b4728614-ae94-42c6-9d10-aad9138b778d', 'Total points :', 21022157, 'Rank :', 110]
['Pseudo :', 'Magyarguyy', 'AccountID :', '94af0b30-e91b-4c11-9736-9555fc6c1341', 'Total points :', 20931838, 'Rank :', 111]
['Pseudo :', 'Dark.TM', 'AccountID :', '67369dd0-c2d9-4762-9b65-45ca34655bdd', 'Total points :', 20924589, 'Rank :', 112]
['Pseudo :', 'johnie_tm', 'AccountID :', 'ae00511c-1706-4d42-b0f4-55dfd47a837d', 'Total points :', 20883603, 'Rank :', 113]
['Pseudo :', 'BeClement', 'AccountID :', '8ea3ba94-3029-4bc5-b262-d9ae7f43740a', 'Total points :', 20857376, 'Rank :', 114]
['Pseudo :', 'MorceTM', 'AccountID :', '28f89eae-4e8f-4207-9eed-68ee8d0a0bc5', 'Total points :', 20853680, 'Rank :', 115]
['Pseudo :', 't.tv-marsliii', 'AccountID :', 'efd26355-e25f-4593-a3c8-f4b560bd467b', 'Total points :', 20555785, 'Rank :', 116]
['Pseudo :', 'esu-LX', 'AccountID :', '2dd1e832-8f25-44c1-8189-ff28d7388806', 'Total points :', 20517936, 'Rank :', 117]
['Pseudo :', 'JajaTM', 'AccountID :', '391f1aeb-744f-4c8c-8ce3-dcd53cfbf883', 'Total points :', 20369815, 'Rank :', 118]
['Pseudo :', 'apX.Vixxa', 'AccountID :', '541cd232-0daa-48c4-8e59-5d9d70371f51', 'Total points :', 20347578, 'Rank :', 119]
['Pseudo :', 'TSUN_SIQAA', 'AccountID :', '4e545828-da45-45ff-9b89-dbed2590fa5e', 'Total points :', 20343579, 'Rank :', 120]
['Pseudo :', 'PokeR.4W', 'AccountID :', 'eb30a7cb-d9c0-49e7-92b4-1eadeeddcd12', 'Total points :', 20309484, 'Rank :', 121]
